0	2020/1/1	2020/1/2	2020/1/3	2020/1/4	2020/1/5	2020/1/6	2020/1/7	2020/1/8	2020/1/9	2020/1/10	2020/1/11	2020/1/12	2020/1/13	2020/1/14	2020/1/15	2020/1/16	2020/1/17	2020/1/18	2020/1/19	2020/1/20	2020/1/21	2020/1/22	2020/1/23	2020/1/24	2020/1/25
安徽省	1.62	1.95	2.17	2.00	1.97	1.98	1.99	2.03	1.88	2.02	2.00	1.61	1.91	1.97	2.00	2.03	1.85	1.68	1.63	1.72	1.65	1.41	1.28	1.03	0.72
北京市	1.34	1.74	1.78	1.71	1.68	2.13	2.21	2.37	2.54	2.29	2.40	2.10	2.03	2.16	2.18	2.50	2.77	3.13	2.93	2.99	2.71	2.55	1.64	0.89	0.74
福建省	0.79	0.81	0.87	0.93	0.93	1.01	1.09	1.25	1.33	1.21	1.30	1.33	1.06	1.39	1.51	1.72	1.62	1.62	1.70	1.62	1.65	1.53	1.20	0.84	0.69
甘肃省	0.15	0.20	0.16	0.22	0.15	0.22	0.24	0.28	0.23	0.19	0.21	0.19	0.16	0.17	0.17	0.18	0.17	0.18	0.19	0.14	0.17	0.11	0.14	0.08	0.06
广东省	3.43	4.26	4.24	4.39	4.08	4.54	5.21	5.19	5.67	4.89	5.28	6.43	5.92	7.13	8.08	8.55	9.55	10.07	9.59	10.40	11.31	10.56	7.38	3.84	2.47
广西壮族自治区	0.55	0.53	0.54	0.60	0.54	0.61	0.70	0.76	0.84	0.76	0.64	0.72	0.58	0.68	0.87	0.85	0.86	0.78	0.94	0.83	0.87	1.08	0.69	0.46	0.40
贵州省	0.35	0.35	0.43	0.37	0.32	0.37	0.44	0.44	0.45	0.39	0.36	0.37	0.33	0.44	0.44	0.49	0.42	0.51	0.46	0.44	0.47	0.44	0.42	0.45	0.18
海南省	0.39	0.36	0.31	0.42	0.32	0.43	0.45	0.43	0.47	0.37	0.31	0.36	0.39	0.42	0.46	0.45	0.38	0.43	0.42	0.44	0.43	0.42	0.40	0.17	0.15
河北省	0.79	1.10	0.99	1.08	0.78	0.91	0.86	0.99	1.12	1.11	0.93	0.92	0.76	0.82	0.82	0.92	0.85	0.77	0.77	0.73	0.69	0.50	0.47	0.52	0.28
河南省	4.49	4.79	4.84	4.93	4.73	4.63	4.49	4.65	4.51	4.59	4.22	3.86	4.33	4.56	4.44	3.91	3.55	3.57	3.90	3.50	3.02	2.59	2.54	2.51	2.28
黑龙江省	0.17	0.27	0.21	0.19	0.15	0.23	0.24	0.27	0.25	0.22	0.23	0.27	0.20	0.25	0.21	0.24	0.19	0.18	0.16	0.14	0.18	0.11	0.15	0.13	0.06
湖北省	70.91	65.39	64.74	65.02	67.16	63.89	62.14	60.35	59.68	61.72	62.62	62.86	63.48	59.79	57.35	56.39	55.84	54.12	55.59	55.17	55.30	58.72	66.99	78.54	82.32
湖南省	2.99	3.52	3.61	3.36	3.56	3.56	3.61	3.70	3.73	3.78	3.66	3.31	3.31	3.41	3.44	3.53	3.09	3.12	3.14	2.93	2.91	2.62	2.44	1.98	1.66
吉林省	0.12	0.21	0.18	0.21	0.16	0.23	0.24	0.27	0.27	0.24	0.24	0.25	0.21	0.15	0.17	0.18	0.15	0.19	0.14	0.12	0.10	0.12	0.12	0.04	0.03
江苏省	1.86	2.67	2.75	2.43	2.40	2.76	2.90	2.87	2.98	2.95	2.74	2.47	2.71	3.04	3.38	3.34	3.95	3.72	3.24	3.85	3.90	3.83	2.85	1.48	1.19
江西省	1.51	1.77	2.07	1.94	1.85	1.92	2.02	2.06	1.92	1.91	1.89	1.48	1.66	1.68	1.86	1.85	1.77	1.77	1.58	1.58	1.52	1.39	1.06	0.91	0.84
辽宁省	0.31	0.53	0.51	0.50	0.41	0.46	0.56	0.54	0.51	0.45	0.40	0.47	0.47	0.48	0.44	0.45	0.41	0.42	0.38	0.38	0.32	0.23	0.24	0.14	0.09
内蒙古自治区	0.12	0.16	0.16	0.22	0.11	0.15	0.14	0.18	0.16	0.17	0.13	0.18	0.13	0.13	0.14	0.15	0.19	0.16	0.18	0.16	0.16	0.12	0.06	0.07	0.06
宁夏回族自治区	0.03	0.09	0.08	0.08	0.07	0.08	0.06	0.12	0.12	0.12	0.09	0.09	0.10	0.09	0.09	0.10	0.08	0.08	0.06	0.07	0.07	0.06	0.05	0.02	0
青海省	0.02	0.05	0.06	0.05	0.05	0.07	0.07	0.08	0.07	0.07	0.05	0.05	0.04	0.03	0.06	0.04	0.05	0.06	0.06	0.05	0.04	0.05	0.06	0.02	0.02
山东省	1.09	1.53	1.50	1.51	1.18	1.36	1.31	1.55	1.50	1.53	1.30	1.20	1.15	1.35	1.20	1.15	1.04	1.06	1.07	0.95	0.97	0.91	0.62	0.48	0.44
山西省	0.31	0.37	0.36	0.43	0.24	0.29	0.38	0.47	0.43	0.43	0.37	0.34	0.35	0.38	0.38	0.39	0.34	0.33	0.31	0.30	0.27	0.22	0.26	0.21	0.09
陕西省	0.68	0.82	0.69	0.84	0.70	0.76	0.85	1.00	0.99	0.89	0.79	0.70	0.65	0.79	0.81	0.78	0.66	0.77	0.74	0.64	0.58	0.55	0.55	0.50	0.76
上海市	1.37	1.53	1.62	1.47	1.52	1.71	1.91	1.78	1.88	1.76	1.84	1.72	1.81	1.98	2.03	2.18	2.53	3.54	2.99	3.40	3.52	3.35	2.83	1.15	1.46
