安徽省	1.94	2.58	2.58	2.14	2.3	2.28	2.33	2.42	2.44	2.52	2.26	2.12	2.32	2.41	2.53	2.43	2.52	2.41	2.27	2.27	2.27	2.1	1.92	1.97	1.81
北京市	1.28	1.9	1.9	1.41	2.21	2.11	1.94	1.83	1.49	1.63	1.16	1.21	1.44	1.42	1.3	1.28	1.07	0.73	0.68	0.56	0.47	0.39	0.36	0.39	0.42
福建省	0.61	1.03	1.03	0.84	0.84	0.91	0.9	1.01	1.02	0.98	0.87	0.93	1.02	1.01	1	1.07	1.04	0.92	1.01	0.9	0.84	0.74	0.72	0.87	0.68
甘肃省	0.21	0.46	0.46	0.39	0.44	0.53	0.55	0.57	0.58	0.52	0.4	0.49	0.52	0.48	0.41	0.35	0.33	0.28	0.31	0.29	0.28	0.27	0.22	0.33	0.29
广东省	2.61	3.76	3.76	2.76	3.48	3.11	2.95	2.92	2.77	2.83	2.22	2.27	2.45	2.18	1.93	1.95	1.85	1.62	1.77	1.66	1.69	1.56	1.55	2.9	3.12
广西壮族自治区	0.52	0.93	0.93	0.84	0.89	0.88	1	1.17	1.26	1.17	0.98	1.2	1.2	1.01	0.86	0.81	0.78	0.6	0.76	0.72	0.62	0.55	0.52	0.66	0.71
贵州省	0.64	0.99	0.99	0.94	1.02	1.17	1.16	1.3	1.24	1.02	0.76	0.87	0.98	0.8	0.59	0.59	0.51	0.45	0.47	0.45	0.38	0.3	0.29	0.37	0.4
海南省	0.45	0.67	0.67	0.47	0.52	0.61	0.66	0.54	0.53	0.46	0.36	0.46	0.4	0.39	0.38	0.42	0.38	0.32	0.39	0.37	0.36	0.33	0.32	0.5	0.68
河北省	0.68	0.98	0.98	0.84	1.01	1.04	1.12	1.21	1.27	1.25	0.99	1.04	1.13	1.01	1.16	1.07	1.12	0.97	1	0.94	0.82	0.71	0.56	0.59	0.53
河南省	4.13	4.93	4.93	4.4	4.82	4.85	5	5.03	5.31	5.23	4.92	4.93	5.34	5.77	6.03	6.46	6.37	5.6	5.86	6.22	6.18	5.67	5.32	4.98	4.33
黑龙江省	0.22	0.32	0.32	0.26	0.28	0.3	0.34	0.34	0.35	0.31	0.29	0.36	0.34	0.33	0.33	0.34	0.33	0.28	0.32	0.27	0.23	0.2	0.18	0.24	0.26
湖北省	72.23	61.33	61.33	67.74	62.99	62.33	62.13	61.38	61.52	61.81	67.43	66.38	63.9	64.8	66.2	65.75	66.96	69.96	69.5	70.67	71.84	74.77	76.57	72.46	74.56
湖南省	3.09	3.74	3.74	3.25	3.45	3.64	3.76	3.77	3.61	3.9	3.59	3.45	3.77	3.82	3.57	3.63	3.59	3.75	3.43	3.36	3.4	3.24	3.07	3.12	2.36
吉林省	0.13	0.18	0.18	0.18	0.19	0.2	0.2	0.25	0.23	0.19	0.16	0.2	0.23	0.22	0.19	0.18	0.22	0.17	0.19	0.16	0.15	0.12	0.11	0.18	0.16
江苏省	1.58	2.28	2.28	1.88	2.24	2.19	2.17	2.14	2.1	2.21	1.78	1.68	1.78	1.75	1.67	1.65	1.7	1.55	1.39	1.26	1.16	1.03	0.95	1.26	1.31
江西省	1.88	2.38	2.38	2	2.14	2.2	2.15	2.13	2.28	2.22	2.15	1.98	2.25	2.24	2.27	2.4	2.4	2.24	2.23	2.09	2.04	1.95	1.84	1.73	1.36
辽宁省	0.33	0.43	0.43	0.38	0.43	0.48	0.5	0.43	0.43	0.43	0.36	0.37	0.42	0.41	0.36	0.42	0.39	0.34	0.38	0.34	0.29	0.21	0.17	0.19	0.23
内蒙古自治区	0.12	0.21	0.21	0.22	0.2	0.26	0.28	0.3	0.33	0.31	0.23	0.3	0.28	0.22	0.18	0.21	0.18	0.12	0.14	0.14	0.14	0.12	0.09	0.15	0.17
宁夏回族自治区	0.06	0.14	0.14	0.13	0.14	0.13	0.13	0.17	0.22	0.17	0.14	0.16	0.15	0.11	0.08	0.09	0.05	0.07	0.08	0.06	0.05	0.04	0.02	0.05	0.06
青海省	0.05	0.11	0.11	0.1	0.1	0.14	0.14	0.16	0.11	0.13	0.07	0.13	0.1	0.1	0.07	0.06	0.04	0.04	0.03	0.03	0.02	0.03	0.02	0.04	0.05
山东省	0.84	1.35	1.35	1.15	1.27	1.41	1.51	1.45	1.58	1.56	1.12	1.32	1.3	1.26	1.2	1.24	1.25	1.13	1.13	1.03	1	0.85	0.69	0.92	0.85
山西省	0.41	0.66	0.66	0.59	0.51	0.64	0.72	0.83	0.9	0.83	0.67	0.77	0.8	0.69	0.65	0.51	0.57	0.53	0.57	0.55	0.52	0.48	0.47	0.53	0.39
陕西省	0.67	0.99	0.99	0.74	0.91	0.95	0.93	0.91	0.87	0.84	0.77	0.79	0.84	0.82	0.75	0.8	0.72	0.7	0.83	0.73	0.71	0.57	0.54	0.73	0.65
上海市	1.04	1.35	1.35	1.14	1.59	1.33	1.3	1.26	1.11	1.18	0.97	0.85	1.12	1.04	0.91	0.92	0.8	0.6	0.56	0.46	0.33	0.28	0.31	0.53	0.49
四川省	0.83	1.36	1.36	1.14	1.34	1.36	1.47	1.51	1.65	1.48	1.28	1.54	1.51	1.52	1.41	1.44	1.28	1.18	1.34	1.21	1.13	0.97	0.83	1.2	1.17
天津市	0.2	0.25	0.25	0.27	0.32	0.31	0.27	0.3	0.27	0.29	0.22	0.22	0.22	0.17	0.22	0.2	0.15	0.14	0.14	0.11	0.09	0.07	0.06	0.09	0.08
西藏自治区	0.01	0.03	0.03	0.03	0.03	0.05	0.04	0.04	0.05	0.04	0.02	0.05	0.04	0.03	0.02	0.02	0.01	0.01	0.01	0.01	0.0 	0.01	0.0 	0.01	0.0 
新疆维吾尔自治区	0.18	0.34	0.34	0.29	0.32	0.43	0.41	0.46	0.4	0.36	0.32	0.37	0.38	0.38	0.25	0.24	0.15	0.19	0.12	0.13	0.11	0.09	0.09	0.13	0.13
云南省	0.54	0.8	0.8	0.64	0.72	0.85	0.79	0.87	0.75	0.74	0.65	0.69	0.8	0.65	0.55	0.58	0.54	0.45	0.49	0.49	0.46	0.39	0.33	0.43	0.54
浙江省	1.39	2	2	1.47	1.84	1.74	1.62	1.71	1.57	1.62	1.38	1.28	1.37	1.25	1.14	1.19	1.16	1.14	1.04	0.99	0.89	0.71	0.66	0.9	0.94
重庆市	0.85	1.15	1.15	1.04	1.14	1.23	1.24	1.27	1.46	1.48	1.2	1.34	1.33	1.43	1.54	1.45	1.32	1.27	1.29	1.27	1.25	1.04	1	1.29	0.92
